,ID,Y Pred,Mass,Pred Formula,Pred Mass,Pred Atom Num,Pred H/C Num,Running Time,Refined Formula (0),Refined Formula (1),Refined Formula (2),Refined Formula (3),Refined Formula (4),Refined Mass (0),Refined Mass (1),Refined Mass (2),Refined Mass (3),Refined Mass (4),FDR (0),FDR (1),FDR (2),FDR (3),FDR (4)
0,EMBL_MCF_2_0_HRMS_Library000531,5.4576683;10.993257;3.2874787;0.059970558;-0.0032299783;-0.0054876865;-0.0040264153;0.0050609335;-6.871932e-07;-0.0001406815;-0.0002794262;-0.00012973588;-2.0326795e-06,130.0281524658203,C5H11O3,129.9355926513672,19.87900733947754,1.9802638292312622,1.9353510364890099,C8H4NO,C6H2N4,,,,130.02928875292,130.02794608218,,,,0.9986423850059509,0.013666930608451366,0.0,0.0,0.0
1,EMBL_MCF_2_0_HRMS_Library000530,10.499072;16.700592;7.1957836;2.2731004;-0.002122214;-0.0018455088;-0.0017566405;-0.008571334;-4.412309e-07;-0.0002434101;-9.306632e-05;-5.7042053e-05;-1.6743182e-06,289.1240234375,C10H17O7N2,289.39410400390625,36.77295684814453,1.5913605690002441,0.2654625400900841,C9H17N6O5,C6H19N5O8,,,,289.12604267233996,289.12336259107997,,,,0.04181410372257233,0.00014664954505860806,0.0,0.0,0.0
2,EMBL_MCF_2_0_HRMS_Library000529,4.2029047;4.4768643;1.8435926;2.0149906;-0.0042489497;-0.0037487447;-0.0024479486;-0.0045884596;-6.1122057e-07;-0.00063661597;0.0002675671;-3.2438933e-05;-1.6320246e-06,112.02729797363281,C4H4O2N2,112.39494323730469,12.635002136230469,1.0441226959228516,0.10862436145544052,C4H4N2O2,,,,,112.02727737692,,,,,0.9999251365661621,0.0,0.0,0.0,0.0
3,EMBL_MCF_2_0_HRMS_Library000528,7.4774;14.587832;9.94403;-0.033116724;-0.015272418;-0.004477686;-0.0012879036;0.86575407;3.3065767e-06;-0.0012897219;-0.0005677279;-0.0003078424;-1.3608426e-05,290.0449523925781,C7H15O10P,289.8848571777344,33.343231201171875,2.0882344245910645,0.16796960681676865,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
4,EMBL_MCF_2_0_HRMS_Library000526,5.3036036;8.900533;7.1442695;0.13552189;-0.005464318;-0.0028031766;-0.006305712;0.4289514;4.579578e-06;-0.0010254469;0.007929118;-0.00020736238;-8.649343e-06,200.00735473632812,C5H9O7,200.07469177246094,21.547739028930664,1.5623642206192017,0.192483089864254,C6H4N2O6,C4H2N5O5,,,,200.0069358552,200.00559318446,,,,0.8732227087020874,0.0005231801769696176,0.0,0.0,0.0
5,EMBL_MCF_2_0_HRMS_Library000525,3.4622884;5.548779;6.5509496;-0.0030954839;-0.0071959347;0.013182342;-0.025253251;0.8341838;-1.5970803e-05;-0.0022259082;-0.0032072363;0.00050722045;7.295699e-06,169.9988250732422,C3H6O7P,170.11083984375,16.16216278076172,1.5792638063430786,0.10837282985448837,C3H7O6P,C4H3N4O2P,,,,169.99802494145,169.99936235196998,,,,0.9987531900405884,0.0015588453970849514,0.0,0.0,0.0
6,EMBL_MCF_2_0_HRMS_Library000523,6.0823793;11.694367;5.9041147;-0.010889411;-0.01052846;-0.005687976;-0.0021487244;-0.011337252;3.2976127e-06;-0.00083861017;-0.0003422197;-0.00013675581;-2.4405524e-06,180.06362915039062,C6H12O6,180.1999053955078,23.665807723999023,1.9146904945373535,0.16101446002721786,C6H12O6,C4H10N3O5,C7H8N4O2,,,180.06338810418,180.06204543344,180.0647255147,,,0.9864272475242615,0.015176407992839813,0.002581072272732854,0.0,0.0
7,EMBL_MCF_2_0_HRMS_Library000522,8.379693;14.985037;14.476041;2.6881123;0.013723837;-0.025864882;-0.0342939;3.106908;-7.022934e-06;0.006738024;-0.010094988;-0.00049878773;-3.594522e-05,481.9925231933594,C8H15O14N3P3,480.5128173828125,43.327003479003906,1.7240928411483765,0.31279029697179794,C10H17N2O14P3,C11H13N6O10P3,C4H17N6O15P3,,,481.98926422601,481.99060163652996,481.99647486329997,,,0.8364209532737732,0.10230718553066254,0.0019087481778115034,0.0,0.0
8,EMBL_MCF_2_0_HRMS_Library000521,11.016641;16.015583;7.5244884;1.6350045;-0.0015363958;-0.006044525;-0.004421028;1.0493941;-6.131961e-06;-0.00050595665;-0.0012070533;-0.00012842011;-8.9427795e-06,322.0558166503906,C11H16O8N2P,321.8387451171875,36.61585235595703,1.402017593383789,0.2123807892203331,C10H15N2O8P,C11H11N6O4P,,,,322.05660244729,322.05793985781,,,,0.6925753355026245,0.015915067866444588,0.0,0.0,0.0
9,EMBL_MCF_2_0_HRMS_Library000520,9.877512;17.699358;10.706521;2.8682098;-0.011917785;-0.006763357;-0.009233736;1.667153;-5.383213e-07;-0.001950797;-0.0015356299;-0.00035814312;-2.2034754e-05,402.0259094238281,C10H18O11N3P2,401.57110595703125,43.25587844848633,1.7633088827133179,0.267206571996212,C10H16N2O11P2,C15H16O9P2,C11H12N6O7P2,,,402.02293333665,402.02695608865,402.02427074717,,,0.7812621593475342,0.13539469242095947,0.09447652101516724,0.0,0.0
